game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1980-09-23,GriffithsIan19600417,BramhallJohn19561120,,,
1980-10-03,HamiltonBryan19461221,KellyJohn19601020,,,
1980-10-06,BramhallJohn19561120,PeplowSteve19490108,,,
1980-10-11,BramhallJohn19561120,BeamishKenny19470825,,,
1980-10-17,KerrJohn19591123,BeamishKenny19470825,,,
1980-10-29,PeplowSteve19490108,LumbyJim19541002,,,
1980-10-31,GriffithsIan19600417,MathiasRay19461213,,,
1980-11-08,HamiltonBryan19461221,GriffithsIan19600417,,,
1980-11-12,PeplowSteve19490108,HamiltonBryan19461221,,,
1980-11-22,HamiltonBryan19461221,PeplowSteve19490108,,,
1980-11-25,CravenSteve19570917,GriffithsIan19600417,,,
1980-11-29,HamiltonBryan19461221,FloodEddie19521119,,,
1980-12-05,EvansClive19570501,MungallSteve19580522,,,
1980-12-20,KellyJohn19601020,MungallSteve19580522,,,
1980-12-26,LeCornuCraig19600917,GriffithsIan19600417,,,
1980-12-27,HamiltonBryan19461221,LeCornuCraig19600917,,,
1981-01-16,BeamishKenny19470825,CravenSteve19570917,,,
1981-01-24,BeamishKenny19470825,CravenSteve19570917,,,
1981-02-06,LeCornuCraig19600917,BeamishKenny19470825,,,
1981-03-01,HamiltonBryan19461221,MungallSteve19580522,,,
1981-03-18,WhittinghamSteve19620204,EdwardsElfyn19600504,,,
1981-03-22,MungallSteve19580522,HamiltonBryan19461221,,,
1981-03-29,GriffithsIan19600417,ParryLes19531113,,,
1981-04-04,PeplowSteve19490108,BeamishKenny19470825,,,
1981-04-10,WilliamsJohn19601003,BeamishKenny19470825,,,
1981-04-17,LeCornuCraig19600917,CravenSteve19570917,,,
1981-04-24,KellyJohn19601020,KerrJohn19591123,,,
1981-05-02,EvansClive19570501,GriffithsIan19600417,,,
1981-08-29,PowellNeville19630902,KerrJohn19591123,,,
1981-09-01,MungallSteve19580522,MathiasRay19461213,,,
1981-09-04,MungallSteve19580522,MorleyBrian19601004,,,
1981-09-12,HamiltonBryan19461221,GriffithsIan19600417,,,
1981-09-15,CravenSteve19570917,HutchinsonBobby19530619,,,
1981-09-19,CravenSteve19570917,WilliamsJohn19601003,,,
1981-09-29,HutchinsonBobby19530619,HamiltonBryan19461221,,,
1981-10-03,CravenSteve19570917,BrownOwen19600904,,,
1981-10-05,CravenSteve19570917,KellyJohn19601020,,,
1981-10-10,HamiltonBryan19461221,KerrJohn19591123,,,
1981-10-24,HutchinsonBobby19530619,MorleyBrian19601004,,,
1981-10-31,MorleyBrian19601004,KerrJohn19591123,,,
1981-11-21,KerrJohn19591123,MorleyBrian19601004,,,
1981-11-24,CravenSteve19570917,BurgessDavid19600120,,,
1981-11-28,CravenSteve19570917,KerrJohn19591123,,,
1981-12-02,CravenSteve19570917,BrownOwen19600904,,,
1982-01-25,GriffithsIan19600417,CravenSteve19570917,,,
1982-01-30,BrownOwen19600904,CravenSteve19570917,,,
1982-02-06,MorleyBrian19601004,HutchinsonBobby19530619,,,
1982-02-09,FergusonMark19601106,MountfieldDerek19621102,,,
1982-02-15,BrownOwen19600904,HamiltonBryan19461221,,,
1982-02-23,BrownOwen19600904,FergusonMark19601106,,,
1982-02-27,GriffithsIan19600417,BramhallJohn19561120,,,
1982-03-06,BrownOwen19600904,CravenSteve19570917,,,
1982-03-10,ParryLes19531113,HamiltonBryan19461221,,,
1982-03-13,MorleyBrian19601004,WilliamsJohn19601003,,,
1982-03-16,MorleyBrian19601004,GriffithsIan19600417,,,
1982-03-20,MorleyBrian19601004,GriffithsIan19600417,,,
1982-03-27,BrownOwen19600904,PowellNeville19630902,,,
1982-04-03,HutchinsonBobby19530619,BrownOwen19600904,,,
1982-04-17,BrownOwen19600904,CravenSteve19570917,,,
1982-04-24,BrownOwen19600904,GriffithsIan19600417,,,
1982-05-04,HamiltonBryan19461221,FergusonMark19601106,,,
1982-05-08,MorleyBrian19601004,GriffithsIan19600417,,,
1982-05-15,BrownOwen19600904,FergusonMark19601106,,,
1982-08-28,MooneyKevin19590823,McKennaKenny19600702,,,
1982-08-31,FergusonMark19601106,GriffithsIan19600417,,,
1982-09-04,FergusonMark19601106,MooneyKevin19590823,,,
1982-09-06,McKennaKenny19600702,WilliamsJohn19601003,,,
1982-09-11,AspinallJohn19590315,McKennaKenny19600702,,,
1982-09-13,McKennaKenny19600702,AspinallJohn19590315,,,
1982-09-18,McKennaKenny19600702,AspinallJohn19590315,,,
1982-09-25,AspinallJohn19590315,KerrJohn19591123,,,
1982-09-28,McGuireReg19590824,AspinallJohn19590315,,,
1982-10-02,McGuireReg19590824,MooneyKevin19590823,,,
1982-10-06,McGuireReg19590824,PowellNeville19630902,,,
1982-10-10,ProsserNeil19570308,GriffithsIan19600417,,,
1982-10-16,PowellNeville19630902,KerrJohn19591123,,,
1982-10-18,AspinallJohn19590315,HamiltonBryan19461221,,,
1982-10-27,MooneyKevin19590823,FergusonMark19601106,,,
1982-10-30,McGuireReg19590824,ParryLes19531113,,,
1982-11-06,PowellNeville19630902,AspinallJohn19590315,,,
1982-11-13,FergusonMark19601106,BrownOwen19600904,,,
1982-12-11,PowellNeville19630902,HamiltonBryan19461221,,,
1982-12-14,PowellNeville19630902,FergusonMark19601106,,,
1982-12-27,PowellNeville19630902,FergusonMark19601106,,,
1982-12-28,PowellNeville19630902,WilliamsJohn19601003,,,
